,coursetext
128,"AGEC 7700 Internship in Agribusiness Administration (3)
Offered in Variable. Prereq.: prior approval of student’s graduate committee. Pass/fail grading based on a written evaluation by the professional supervisor, a written report by the student and the faculty member’s evaluation. May be taken for a max. of 3 hrs. credit. Open only to agricultural economics master’s students. 300 hrs. of learning experience. General supervision by a faculty member; direct supervision by an agribusiness professional."
129,"AGEC 7703 Independent Study (1-3)
Prereq.: graduate committee approval prior to enrollment. May be taken for a max. of 6 sem. hrs. when topics vary. Independent study of relevant subject matter areas in agricultural economics."
130,"AGEC 7710 Advanced Topics in Agricultural Economics (1-3)
Offered in Variable. Prereq.: consent of instructor. May be taken for a max. of 6 hrs. of credit when topics vary. New and specialized topics in agricultural economics."
131,"AGEC 8000 Thesis Research (1-12 per sem.)
Offered in Variable. “S”/”U”grading."
132,"AGEC 9000 Dissertation Research (1-12 per sem.)
Offered in Variable. “S”/”U”grading."
133,"AEEE 1001 Learning Leadership in Agricultural Sciences, Natural Resources, and Extension (3)
Leadership as it relates to agricultural sciences, natural resources, and extension; approaches diversity of leadership through social sciences, management, and popular culture."
134,"AEEE 1002 Developing Professional Confidence: Passion, Purpose and Planning (1)
Prereq.: Enrollment in this course is limited to students in the College of Agriculture or by permission of department. Areas related to professional career preparation. Topics include: presentation skills, resumé and portfolio development, and interview skills. Emphasis placed on preparing students for careers in the agricultural industry and extension."
135,"AEEE 2001 Foundations of Agricultural & Extension Education (3)
2 hrs. lecture; 2 hrs. lab. Foundation of the economic, sociological and political influences on the historical development of agricultural and extension education; organization and delivery of agricultural and extension education programs and practices at the secondary and post-secondary levels."
136,"AEEE 2002 Coaching and Contest in Agricultural and Extension Education (3)
The role that career development events and contests play in agricultural and extension programs. Topics include: competition and cooperation, winning and losing, ethics, use of community resources, and academic and employability skills taught through contests; coaching as a teaching method; assisting with the coordination of carious career development events."
137,"AEEE 2003 Introduction to Agricultural Mechanics (3)
2 hrs. lecture; 2 hrs. lab. Methods and management of school-based agricultural education laboratories; emphasis on safety, agricultural mechanics skill development, and the management of students, facilities, equipment, and materials."
138,"AEEE 2004 Introduction to Metals and Welding in Agricultural and Extension Education (3)
2 hrs. lecture; 3 hrs. lab. Introduction to Shielded Metal Arc Welding (SMAW), Gas Metal Arc Welding (GMAW), and Oxy-fuel welding/cutting. Emphasis on the theoretical foundation of welding, safety, skill development, and management of facilities, materials, and equipment."
139,"AEEE 2011 Introduction to Agriculture Communication (3)
Students will learn the principles and skills necessary to communicate effectively about agricultural issues using visual, oral and written strategies. "
140,"AEEE 2501 Agriscience Laboratory Applications (3)
Prereq.: BIOL 1001 or BIOL 1201. 2 hrs. lecture; 2 hrs. lab. Demonstration of methods of teaching in an agriscience laboratory utilizing a variety of technologies. modules will include topics related to aquaculture systems, microscopy, tissue culture, soil and water testing, electrophoresis, hydroponics, global positioning systems, robotics, and presentation technologies. Students will apply scientific principles to the development of individual agriscience projects."
141,"AEEE 2504 Agricultural and Environmental Sciences for Educators (4)
Prereq.: Permission of department. Methods and management of educational experiences in ag. and environmental education. Examines teaching methods, delivery, and common challenges encountered by agricultural education professionals curating experiences related to environmental and natural resources. Special emphasis on middle/high school agricultural education and FFA and 4-H contests related to soils, entomology, and environmental sciences. "
142,"AEEE 2819 Special Topics in Agricultural and Extension Education (1-3)
Prereq.: Permission of department. Can be repeated for up to 6 hours when topics vary. Individual and group study of selected topics under the direction of a faculty member."
143,"AEEE 3001 Engaging Diverse Learners in Agricultural and Extension Education (3)
Prereq.: AEEE 2001. Addresses the planning, delivering, and evaluation of experiential learning activities for students with diverse learning needs. Specific strategies for working with student diversity in authentic learning laboratories."
144,"AEEE 3010 Internship in Cooperative Extension (6)
Offered in Su Prereq.: permission of instructor. Open to selected students completing their junior year who are considering a career with the Cooperative Extension Service. Seven-week period of study, observation, and practicum in a parish Louisiana Cooperative Extension Service office plus a two-week period of classes in extension education."
145,"AEEE 3011 Public Engagement Strategies for Agricultural Research (3)
Analysis and application for effectively disseminating scientific research to the public, within the context of agriculture, food, and natural resources."
146,"AEEE 3301 Introduction to Program Evaluation for Agricultural and Extension Educators (3)
Conducting program evaluations in real-world contexts of the formal agricultural education classroom and non-formal education settings."
147,"AEEE 3603 Classroom Management in Agricultural and Extension Education (1)
Prereq.: AEEE 2001.  Managing the agricultural education classroom; emphasis on student behavior; techniques for preventing, diagnosing and handling student discipline problems."
148,"AEEE 3604 Human Diversity in Learning in Agricultural and Extension Education (1)
Prereq.: AEEE 2001.  This course strives to better prepare today’s teachers/trainers to achieve their goals of delivering an effective education to diverse students who are living in a complex, interdependent world. Each of the various diversities addressed in this course mediate one another and do not act in isolation, which further complicates an educator’s task, but is nonetheless critical to an understanding of classroom interaction."
149,"AEEE 3605 Field Experiences in Agricultural and Extension Education (1)
Prereq.: AEEE 2001.  The purpose of this field experience is to provide direct experiences to increase understanding of learning process and apply skills for facilitating the process. The course provides detailed guides for observing the dynamics of the classroom and community, participating with the classroom teacher and then reflecting on the experience. Motivation, classroom management, and teaching strategies are the focus areas of the experience."
